143
ICYWW
IDBI
IDC
IDEFK
IDEK
idek
IDGAF
IDGARA
IDGI
IDK
idk
IDR
IDTS
IG
IHDK
ihn
IK
ikr
ikt
IKTR
ILY
INBD
inc
IOOH
ISWYM
IWLT
IYAM
IYKWIM
J
j/k
JK
JTLYK
K
k
K
L
l8
l8ly
l8r
lel
LEL
LMBO
lmk
LMN
LMTO
lol
LOL
lolol
Citations:LQL
LWYL
LYSM
M
m8
m80
MC
mego
MIL
mn
MTE
MTFBWY
N
nd
ne1
neway
NGL
np
NTIM
nxt
O
OATUS
obvs
of coz
ofc
OML
OOTO
OTC
OTOH
owtte
P
pap
PAP
ping
pls
plz
pog
poggers
POS
PP
ppl
R
r
rawr
RN
RNTM
RUOK
S
shd
sk8
sk8er
sk8r
SLR
some1
spk
srs
sry
STG
str8
sum
sum1
swim
SWL
SYS
T
TBF
tbf
TBH
tbqh
TF
tf
tfb
TFS
thnk
thnx
thx
TIAS
TL;DW
tlk
Watsgoin
fugly
gudnite
bcs
wouldve
shouldve
dafak
Ms.fuck
fuking
tanlines
fatass
didnt
fcks
fokn
tonite
wat
gon
insta
congrat
imma
Imma
